"Institution","All_agencies","DOC","DOD","DOE","ED","EPA","HHS","NASA","NSF","USDA","Othera"
"   Carnegie Mellon U.","151524.5","2356.8","43412","4238.6","1821.9","400","20462.8","2382.5","72707.9","0","3741.9"
"   U. TX, Southwestern Medical Ctr.","151363","0","1224.1","0","383","0","145987.8","3096","672.1","0","0"
"   VA Polytechnic Institute and State U.","150271.4","41.7","32690","11390","44.7","0","26491.8","839.3","37127.8","20952.3","20693.7"
"   U. MA, Medical School","142528.5","0","5206.7","0","425","0","136256.9","0","439.8","0","200.3"
"   NC State U.","141260.1","5158.5","13290","17505.4","536.1","5","18034.8","1242.4","49869.2","34367.4","1251.3"
"   Princeton U.","136881.1","3694.8","21686.2","13583.3","89.4","0","38810.2","5772.9","52918.7","39","286.5"
"   U. TX, M. D. Anderson Cancer Ctr.","132734.1","0","1927.4","0","0","0","130395.3","411.5","0","0","0"
"   U. KY","125605.5","8.6","948.9","10969.1","350","184.2","80377.1","599.3","11082.8","20633.2","452.3"
"   CO State U., Ft. Collins","124785.8","3722.3","11363","7435.3","0","2220.2","32910.3","4348","32769","18787.9","11229.8"
"   Wake Forest U.","123616.2","235.6","17967.7","0","0","0","101436","411.5","2623.9","0","941.4"
"   IN U.-Purdue U., Indianapolis","114773.6","0","3506.8","0","427.5","0","110804.3","0","0","35","0"
"   U. CA, Santa Barbara","110682.1","278.7","37045.9","6838","45","0","18453.9","3558.7","43469.9","40","952"
"   Dartmouth C.","106692.9","49.1","4640.1","504","698.5","1764","83731","3307","10951.9","85.9","961.4"
"   OR State U.","105649.5","5433.4","10072","5532.7","0","863.3","14972.3","4234.4","31911.6","27658.6","4971.3"
"   U. CT","105461.3","1207.5","7114.4","2303.5","0","0","66563.9","678","21858.5","5680.5","55"
"   Woods Hole Oceanographic Institution","105134.1","8254.9","22483.8","70.3","0","0","1366.8","3455.4","69407.9","0","95.1"
"   U. KS","102349.4","123.6","4881.4","687.2","2008.1","0","76035.3","4534.4","13894.3","0","185"
"   IA State U.","100576.9","1697.7","3971.5","7475.3","0","0","11007.7","781.2","34446.5","37401.3","3795.8"
"   LA State U.","99780.7","1902.1","8189.7","4651.7","150","215","44952.4","1248.7","19883.3","17519.1","1068.7"
"   Brown U.","98647.9","8.3","10785","6271.7","43.2","0","55488.6","2232.6","23727.8","0","90.6"
"   VA Commonwealth U.","96944","0","5991.4","752","2199","0","84688.5","0","3142.4","0","170.7"
"   U. NM","96634.1","0","11097.8","3448.9","0","0","56559.1","2931.1","22126.8","55","415.4"
"   FL State U.","95804.8","519.5","17434.5","5467.8","4612.4","0","15853","1423.6","49043","0","1450.9"
"   U. GA","93795.2","1389","1590.8","3429.8","0","799.9","36016","1146.7","23984.4","21512.5","3925.9"
"   Medical U. SC","92103.9","0","8835.8","0","1486.1","0","80632.8","180.9","968.3","0","0"
"   Medical C. WI","91773.1","0","471.8","0","0","0","89241.4","0","106.3","0","1953.7"
