Category,PI Name,Proposal Number,Time,Title,Year
NORMAL GALAXIES: DIFFUSE EMISSION,Jimmy Irwin,06610926,60.0,The Multi-Talented Elliptical Galaxy NGC1052,2006
NORMAL GALAXIES: DIFFUSE EMISSION,jeffrey kenney,06610973,40.0,Ram Pressure Stripping of the Virgo Spiral NGC 4569 (M90),2006
NORMAL GALAXIES: DIFFUSE EMISSION,Stephen Murray,06611057,4.5,A Chandra Snapshot Survey of X-ray Bright Early-type Galaxies,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Stephen Murray,06620006,25.0,Black Hole X-ray Nova in M31,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Gregory Sivakoff,06620137,160.0,Low Mass X-ray Binaries and Globular Clusters in the Early-TypeGalaxy NGC 4365,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Philip Kaaret,06620189,60.0,A State Transition of the Ultraluminous X-Ray Source in M82,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Michael Garcia,06620314,200.0,M31* - The Nearest Extra-galactic SuperMassive Black Hole,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Douglas Swartz,06620375,120.0,X-rays and Galactic Structure,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Leigh Jenkins,06620434,40.0,PROBING THE LINK BETWEEN GALACTIC BARS & STARBURST/AGN ACTIVITYIN NGC1672/NGC7771,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Gulab Dewangan,06620848,100.0,Chandra HETG View of an ULX Associated with an SNR in HolmbergII,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Jonathan Grindlay,06620985,100.0,Galactic Bulge Chandra-HST Survey,2006
NORMAL GALAXIES: X-RAY POPULATIONS,David Pooley,06620999,180.0,An Unprecedented View of a Galaxy's Dynamic X-ray SourcePopulation,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Frederick Baganoff,06621003,245.0,Simultaneous Gamma-Ray to Sub-Millimeter Monitoring ofSagittarius A*,2006
NORMAL GALAXIES: X-RAY POPULATIONS,Frederick Baganoff,06621003,5.0,Monitoring a New X-ray Transient 2.5 Arcseconds South of Sgr A*,2006
ACTIVE GALAXIES AND QUASARS,Stephen Murray,06700009,30.0,An X-ray study of the hot gas environment around the nearbyradio galaxy IC 310,2006
ACTIVE GALAXIES AND QUASARS,Mariano Mendez,06700021,147.0,Time variability of the warm outflow in NGC 5548,2006
ACTIVE GALAXIES AND QUASARS,Claude Canizares,06700023,150.0,The High Velocity Ionized Outflow of PG 0844+349,2006
ACTIVE GALAXIES AND QUASARS,Claude Canizares,06700026,300.0,Understanding the accretion process in a Low-Luminosity AGN: isM81* a starved black hole?,2006
ACTIVE GALAXIES AND QUASARS,Gordon Garmire,06700036,20.0,Alternate: Magnified Views of Quasar Outflows,2006
ACTIVE GALAXIES AND QUASARS,Gordon Garmire,06700037,50.0,A Study of Quasar Evolution With The Aid Of Lensing,2006
ACTIVE GALAXIES AND QUASARS,Gordon Garmire,06700052,40.0,ACIS Imaging of an X-ray Jet from the Remarkable Quasar PG1004+130,2006
ACTIVE GALAXIES AND QUASARS,William Brandt,06700116,154.8,A Chandra Survey of the Most Distant Quasars: X-raying the FirstMassive Black Holes,2006
ACTIVE GALAXIES AND QUASARS,Christopher Reynolds,06700165,60.0,The quiescent nucleus and X-ray source population of the nearestgiant elliptical galaxy,2006
ACTIVE GALAXIES AND QUASARS,Shin Mineshige,06700203,80.0,AN X-RAY MICROLENSING TEST OF THE AU-SCALE CENTRAL STRUCTURE OFTHE QUADRUPLE QUASAR 2237+0305,2006
ACTIVE GALAXIES AND QUASARS,Andrew Fabian,06700234,60.0,Extended inverse Compton emission from distant powerful radiogalaxies,2006
ACTIVE GALAXIES AND QUASARS,Daniel Schwartz,06700300,30.0,The Jet-Like X-ray Structure at the High Redshift QuasarJ0841+1311,2006
ACTIVE GALAXIES AND QUASARS,Belinda Wilkes,06700323,34.7,THE X-RAY PROPERTIES OF HIGHER REDSHIFT RED AGN,2006
ACTIVE GALAXIES AND QUASARS,Jill Bechtold,06700348,6.0,Alpha Element Enrichment in Damped Lyman Alpha Absorbers: Surveyfor New Targets,2006
ACTIVE GALAXIES AND QUASARS,Ralph Kraft,06700371,100.0,"A Chandra Study of Two Nearby, Powerful Radio Galaxies in PoorEnvironments",2006
ACTIVE GALAXIES AND QUASARS,Matteo Guainazzi,06700397,7.5,A Chandra observation of a possible transient AGN/ULX pair inNGC5643,2006
ACTIVE GALAXIES AND QUASARS,Roger Romani,06700400,30.0,An X-ray Exposure of the Highest-redshift Blazar: IC/CMB Jets,2006
ACTIVE GALAXIES AND QUASARS,Hermine Landt,06700474,70.0,The Extended X-ray Structure of a New Population of Blazars,2006
ACTIVE GALAXIES AND QUASARS,TOD STROHMAYER,06700510,100.0,Chandra and RXTE Observations of the Ultraluminous QPO Source inM82,2006
ACTIVE GALAXIES AND QUASARS,George Chartas,06700513,90.0,MAGNIFIED VIEWS OF THE CLOVERLEAF QSO,2006
ACTIVE GALAXIES AND QUASARS,Eliot Quataert,06700538,125.0,Searching for X-ray Flares from the Nucleus of M32,2006
ACTIVE GALAXIES AND QUASARS,KAREN LEIGHLY,06700564,64.2,The Spectral Energy Distribution and Fe II Emission inIntermediate-Redshift Narrow-line Seyfert 1 Galaxies,2006
ACTIVE GALAXIES AND QUASARS,Luis Ho,06700600,50.0,X-ray Properties of AGNs with Intermediate-mass Black Holes,2006
ACTIVE GALAXIES AND QUASARS,Sally Laurent-Muehleisen,06700607,43.0,Gems in the Chandra Deep Fields: The Nature of Optically PassiveX-ray Galaxies (aka XBONGs),2006
ACTIVE GALAXIES AND QUASARS,Kirpal Nandra,06700612,55.0,Bringing in the Last SHEEP,2006
ACTIVE GALAXIES AND QUASARS,Giuseppina Fabbiano,06700636,200.0,The X-ray Jet of the X-ray faint supermassive nuclear black holein NGC 821,2006
ACTIVE GALAXIES AND QUASARS,DANIEL HARRIS,06700769,60.0,THE ENIGMATIC X-RAY JET OF 3C120,2006
ACTIVE GALAXIES AND QUASARS,Cristian Vignali,06700774,50.0,Studying the X-ray properties of SDSS candidate Type II quasarswith exploratory Chandra observations,2006
ACTIVE GALAXIES AND QUASARS,Scott Anderson,06700815,12.5,A Uniform Chandra Survey of the Brightest and Most Extreme SDSSBALQSOs,2006
ACTIVE GALAXIES AND QUASARS,Aneta Siemiginowska,06700820,120.0,Deep Imaging of the 300~kpc X-ray jet in the $z=1.18$ quasarPKS~1127-145,2006
ACTIVE GALAXIES AND QUASARS,Rita Sambruna,06700844,40.0,X-ray from misaligned FRI jets: IC/CMB emission from a fastspine?,2006
ACTIVE GALAXIES AND QUASARS,Giovanni Fossati,06700944,87.0,What kind of Jets does Nature make? X-ray characterization ofthe FIRST Flat Spectrum Sample,2006
ACTIVE GALAXIES AND QUASARS,Luigi Costamante,06700972,30.0,Exploring the X-rayTeV connection in BLLacs at shorttimescales,2006
ACTIVE GALAXIES AND QUASARS,Jonathan Gelbord,06700990,209.0,"A Study of the Physics of Extended Relativistic X-ray Jets,Discovered in our Chandra Survey",2006
ACTIVE GALAXIES AND QUASARS,laura pentericci,06701011,120.0,The evolution of AGN: Chandra Imaging of protoclustersassociated with high redshift radio galaxies,2006
ACTIVE GALAXIES AND QUASARS,John Biretta,06701060,60.0,The X-ray Flares of Knot 'HST-1' in the M87 Jet (monitoring),2006
ACTIVE GALAXIES AND QUASARS,Aaron Barth,06701061,25.0,"A Multiwavelength Study of POX 52, a Dwarf Seyfert Galaxy withan Intermediate Mass Black Hole",2006
CLUSTERS OF GALAXIES,Stephen Murray,06800010,40.0,A Chandra Study of the Unusual Galaxy Cluster A1569,2006
CLUSTERS OF GALAXIES,Stephen Murray,06800018,280.0,Chandra observations of high-redshift clusters of galaxies fromthe 400 Square Degrees ROSAT PSPC survey,2006
CLUSTERS OF GALAXIES,Gordon Garmire,06800045,10.0,Alternate: The Eclipsing Binary ET Tau,2006
CLUSTERS OF GALAXIES,Peter Predehl,06800073,20.0,X-ray emission from clusters of galaxies from the REFLEX sample.,2006
CLUSTERS OF GALAXIES,Alexey Vikhlinin,06800101,615.0,DARK ENERGY WITH X-RAY CLUSTERS: CHANDRA OBSERVATIONS OF 41HIGH-REDSHIFT CLUSTERS FROM THE 400 deg^2 ROSAT PSPC SURVEY,2006
CLUSTERS OF GALAXIES,Alexey Vikhlinin,06800102,450.0,A CHANDRA TREASURY OBSERVATION OF THE BEST EXAMPLE OF A CLUSTERCOLD FRONT,2006
CLUSTERS OF GALAXIES,Michael Gladders,06800198,75.0,Cluster Strong Lensing at High Redshift,2006
CLUSTERS OF GALAXIES,Matteo Murgia,06800209,30.0,Chandra observations of clusters of galaxies containing fossilradio sources,2006
CLUSTERS OF GALAXIES,Pasquale Mazzotta,06800267,82.0,X-ray Properties of a Mass-Selected Group Catalog,2006
CLUSTERS OF GALAXIES,Paul Nulsen,06800337,100.0,The Outburst in Hercules A,2006
CLUSTERS OF GALAXIES,Craig Sarazin,06800355,41.0,The Interaction between Cluster Central Radio Sources andCooling Flows,2006
CLUSTERS OF GALAXIES,Naohisa Inada,06800392,80.0,Chandra study of the first strong-lens selected cluster ofgalaxies and the lens system,2006
CLUSTERS OF GALAXIES,Hans Boehringer,06800407,40.0,A detailed Chandra Study of the cluster with the most luminouscooling core at z>0.25,2006
CLUSTERS OF GALAXIES,Gordon Garmire,06800426,90.0,Dark Matter in Isolated Ellipticals and Groups,2006
CLUSTERS OF GALAXIES,Trevor Ponman,06800427,70.0,HI-Deficient Ultracompact Groups,2006
CLUSTERS OF GALAXIES,Gordon Garmire,06800428,30.0,First X-ray Observation of Two High Redshift Lensing Clustersfrom the Optically Selected LCDCS Sample,2006
CLUSTERS OF GALAXIES,Laurence Jones,06800443,130.0,A detailed study of a z>1 galaxy cluster,2006
CLUSTERS OF GALAXIES,Gordon Garmire,06800449,50.0,"X-ray Emission from Optically-Selected, High-Redshift GalaxyClusters from the RCS Survey",2006
CLUSTERS OF GALAXIES,Somak Raychaudhury,06800490,2371.1,The supercluster-scale filament of galaxies ZwCl 2341.1+0000 atz=0.3,2006
CLUSTERS OF GALAXIES,Christopher Reynolds,06800498,100.0,The Complex Radio-Galaxy/ICM interaction in A4059,2006
CLUSTERS OF GALAXIES,Alastair Sanderson,06800562,80.0,Fossil groups in the local Universe,2006
CLUSTERS OF GALAXIES,William Forman,06800613,512.0,The History of AGN Activity in M87 and the Interaction ofNuclear Outbursts with the Surrounding Atmosphere,2006
CLUSTERS OF GALAXIES,Megan Donahue,06800721,200.0,A Deep Observation of a Radio-Quiet Cooling Flow,2006
CLUSTERS OF GALAXIES,Spencer Stanford,06800802,20.0,The Creation of the Intracluster Medium in High-z GalaxyClusters,2006
CLUSTERS OF GALAXIES,Harald Ebeling,06800853,110.0,MACS: The most massive galaxy clusters at z>0.3,2006
CLUSTERS OF GALAXIES,Spencer Stanford,06800883,20.0,The Galaxy Cluster Mass-T_x Relation at High Redshift,2006
CLUSTERS OF GALAXIES,Edward Lloyd-Davies,06800913,40.0,Entropy in low mass galaxy clusters out to moderate radii,2006
CLUSTERS OF GALAXIES,Andrew Young,06800915,200.0,Cygnus A - Shock Heating of the Intra-Cluster Medium,2006
CLUSTERS OF GALAXIES,Elizabeth Blanton,06800929,130.0,Bubbles and B-Flats: A Deep Observation of Abell 2052,2006
CLUSTERS OF GALAXIES,John Hughes,06800938,100.0,Chandra Observations of the DLS Shear-Selected Cluster Survey,2006
CLUSTERS OF GALAXIES,Renato Dupke,06800959,90.0,Intracluster Gas Velocity Tomography in RXJ0419.6+0225,2006
CLUSTERS OF GALAXIES,Peter Predehl,06801032,30.0,X-ray emission from clusters of galaxies from the REFLEX sample.,2006
 CLUSTERS OF GALAXIES,Stephen Murray,06801077,150.0,Supplement to Chandra observations of high-redshift clusters ofgalaxies from the 400 Square Degree ROSAT PSPC survey,2006
EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS,Fabrizio Nicastro,06900144,340.0,Continuing X-Raying the Intergalactic Medium with Blazars inOutburst: Deeper in Redshift and Wider in Area.,2006
EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS,Gordon Garmire,06900442,70.0,"X-ray Emission from Optically-Selected, High-Redshift GalaxyClusters from the RCS Survey",2006
EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS,Kirpal Nandra,06900444,1400.0,Deep Chandra Imaging of the Extended Groth Strip: TheCo-evolution of Black Holes and Galaxies,2006
EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS,Kirpal Nandra,06900602,150.0,The Spectral Energy Distributions of AGN: A Shallow Survey ofthe ELAIS-N1 Field,2006
EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS,Gordon Garmire,06901058,100.0,"X-ray Emission from Optically-Selected, High-Redshift GalaxyClusters from the RCS Survey",2006
GALACTIC DIFFUSE EMISSION AND SURVEYS,Claude Canizares,06910030,50.0,Measuring X-ray Absorption Fine Structures of InterstellarGrains,2006
GALACTIC DIFFUSE EMISSION AND SURVEYS,Leisa Townsley,06910168,200.0,"Massive Star Life, Death, and Rebirth in the Perseus Arm",2006
GALACTIC DIFFUSE EMISSION AND SURVEYS,Randall Smith,06910296,9.0,Filling in the X-ray Halo around GX13+1,2006
GALACTIC DIFFUSE EMISSION AND SURVEYS,Hiroshi Murakami,06910473,90.0,Sgr C: A New X-Ray Reflection Nebula?,2006
GALACTIC DIFFUSE EMISSION AND SURVEYS,Masahiro Tsujimoto,06910723,100.0,ACIS-I Reveals a 60 Mega Kelvin Cocoon Surrounding a GalacticStar Burst Monster,2006
