Category,PI Name,Proposal Number,Time,Title,Year
SOLAR SYSTEM,Carey Lisse,06100312,300.0,Comet 9P/Tempel 1 During the Deep Impact Encounter,2006
STARS AND WD,Stephen Murray,06200016,90.0,Star formation in the young star cluster NGC 6231,2006
STARS AND WD,Gordon Garmire,06200050,30.0,Alternate: A Search for X-ray Activity from a Mass-AccretingYoung Massive Star in NGC7538 with ACIS-I,2006
STARS AND WD,Gordon Garmire,06200059,21.0,Search for beta Pic analogs,2006
STARS AND WD,Fabio Favata,06200079,100.0,X-ray emission from fast moving shocks in the protostellar jetHH 154: a binding diagnostic of the emission mechanism,2006
STARS AND WD,Joel Kastner,06200093,60.0,X-ray Imaging of McNeil's Star: Witnessing the Onset of anAccretion Burst,2006
STARS AND WD,"J\""urgen Schmitt",06200153,107.0,The puzzle of X-ray emission from magnetic stars withoutconvective envelopes,2006
STARS AND WD,Coralie Neiner,06200158,140.0,The location and spatial structure of the X-ray emitting plasmain the magnetically confined environment of beta Cep,2006
STARS AND WD,Jorge Sanz-Forcada,06200164,43.0,The issue of coronal abundances: observation of two active starswith well determined photospheric abundances,2006
STARS AND WD,Wayne Waldron,06200204,594.0,A Chandra HETGS Survey of O-Stars,2006
STARS AND WD,Jan Forbrich,06200255,75.0,Simultaneous X-ray and Radio Monitoring of YSO Activity in theCoronet Cluster,2006
STARS AND WD,NANCY EVANS,06200274,50.0,h and Chi Per: The Loudest Sources?,2006
STARS AND WD,Joel Kastner,06200294,300.0,The X-ray Spectrum of a Planetary Nebula at High Resolution,2006
STARS AND WD,Stephen Skinner,06200332,60.0,A Rich Population of Massive Young Stars in the ClusterWesterlund 1,2006
STARS AND WD,THOMAS AYRES,06200370,60.0,Resolving the Puzzle of Hybrid Star Coronal X-rays,2006
STARS AND WD,Andisheh Mahdavi,06200432,60.0,Untangling the Accretion Spots on Classical T Tauri Stars,2006
STARS AND WD,Andrew Pollock,06200506,150.0,Doppler Imaging of WR140's Collisionless Shocks at Apastron,2006
STARS AND WD,MARC AUDARD,06200517,100.0,MAGNETIC ACTIVITY IN YOUNG STARS: THE WEAK-LINED T TAURI STARHDE 245059,2006
STARS AND WD,MARC AUDARD,06200570,24.0,A MINI-SURVEY OF MAGNETIC ACTIVITY IN L AND T BROWN DWARFS,2006
STARS AND WD,Alexander Brown,06200643,130.0,CORONAL FLARING AND THE NEUPERT EFFECT ON THE ACTIVE BINARYSIGMA GEM,2006
STARS AND WD,Gregory Herczeg,06200645,150.0,The Production of X-ray Emission in Classical T Tauri Stars,2006
STARS AND WD,Scott Wolk,06200661,100.0,The power within the PacMan Nebula: Triggered Star Formation inNGC 281,2006
STARS AND WD,David Weintraub,06200742,20.0,How Do T Tauri Stars Generate X-rays?,2006
STARS AND WD,Scott Wolk,06200872,80.0,Multi-Wavelength Signatures of Magnetic Activity in theStar-Forming Region around LkHa101,2006
STARS AND WD,Steven Saar,06200882,150.0,Planet-Induced Activity Enhancements in the HD 179949 System,2006
WD BINARIES AND CV,Christopher Mauche,06300119,84.0,Chandra Soft X-ray Spectroscopy of QS Tel,2006
WD BINARIES AND CV,Christopher Mauche,06300120,78.0,Coordinated Multiwavelength Observations of AE Aqr,2006
WD BINARIES AND CV,Christopher Mauche,06300176,100.0,Chandra HETG Spectroscopy of the VY Sculptoris Star TT Ari,2006
WD BINARIES AND CV,Koji Mukai,06300279,100.0,Plasma and Kinematic Diagnoses of the Post-Shock Cooling Plasmain the Intermediate Polar YY Draconis,2006
WD BINARIES AND CV,Ronald Elsner,06300481,53.0,"Sensitive X-ray surveys of the nearby globular clusters NGC6544, NGC 6838 (M71), and NGC 6656 (M22)",2006
WD BINARIES AND CV,Walter Lewin,06300541,92.0,A Uniform Study of Globular Cluster X-ray Sources: the Keys toCluster Dynamical Evolution,2006
WD BINARIES AND CV,Edwin Kellogg,06300849,70.0,R Aquarii X-ray Jets: a synoptic study,2006
WD BINARIES AND CV,Jennifer Sokoloski,06300907,100.0,X-Ray Observation of a Transient Symbiotic-Star jet,2006
WD BINARIES AND CV,Vadim Burwitz,06300908,125.0,Testing Accretion Scenarios at the Eddington Limit,2006
WD BINARIES AND CV,Peter Predehl,06301031,85.0,Supersoft X-rays from the VY Scl type stars,2006
BH AND NS BINARIES,Stephen Murray,06400015,40.0,The Energy Distribution of GS1354-64,2006
BH AND NS BINARIES,Peter Jonker,06400097,45.0,Faint quiescent neutron star soft X-ray transients,2006
BH AND NS BINARIES,Peter Jonker,06400115,80.0,Following a black hole candidate soft X-ray transient returningto quiescence,2006
BH AND NS BINARIES,Nicola Masetti,06400127,2.0,Precise astrometry of the X-ray sources 4U1700+24 and 4U1954+319,2006
BH AND NS BINARIES,Stephane Corbel,06400159,140.0,X-Ray Jets in Microquasars,2006
BH AND NS BINARIES,Jon Miller,06400177,200.0,Relativistic Effects and Outflows in a Black Hole Transient,2006
BH AND NS BINARIES,Rudy Wijnands,06400219,20.0,Quiescent X-ray counterparts of Globular Cluster transients,2006
BH AND NS BINARIES,Rudy Wijnands,06400222,90.0,Quasi-persistent neutron-star X-ray binaries in quiescence,2006
BH AND NS BINARIES,Rudy Wijnands,06400229,100.0,Cooling curves of accretion-heated neutron stars,2006
BH AND NS BINARIES,Adamantia Paizis,06400243,20.0,INVESTIGATING NEW INTEGRAL SOURCES WITH CHANDRA,2006
BH AND NS BINARIES,John Tomsick,06400328,20.0,Localization of INTEGRAL-Selected Sources in the Norma Region,2006
BH AND NS BINARIES,Michael Nowak,06400331,60.0,"Resolving the Fe Line, Warm Absorber, and Scattering Halo ofGX339-4 with Joint Chandra/RXTE Observations",2006
BH AND NS BINARIES,Saul Rappaport,06400334,100.0,X-RAY DIAGNOSTICS OF THE WIND OF HMXB X1908+075: POSSIBLEPROGENITOR BH-NS SYSTEM,2006
BH AND NS BINARIES,Norbert Schulz,06400378,75.0,Accretion Disk Mapping using the P Cygni Line Profiles inCircinus X-1,2006
BH AND NS BINARIES,Rob Fender,06400405,40.0,Testing and extending the fundamental plane of black holeactivity,2006
BH AND NS BINARIES,Malcolm Coe,06400423,200.0,Discovering X-ray pulsars in the Wing of the Small MagellanicCloud,2006
BH AND NS BINARIES,Julia Lee,06400593,140.0,"An ACIS-HETGS, RXTE, and Radio VLA-VLBA TOO of the microquasarXTE J1748-288",2006
BH AND NS BINARIES,Tiziana Di Salvo,06400656,30.0,Follow-up Chandra observation of 4U 1705-44,2006
BH AND NS BINARIES,Maura McLaughlin,06400710,80.0,Spectral and Temporal Studies of the X-ray Emission from theDouble Pulsar Binary System J0737-3039,2006
BH AND NS BINARIES,Haldan Cohn,06400851,50.0,X-ray Binaries in the Ultrahigh Collision Rate Globular ClusterNGC 6388,2006
BH AND NS BINARIES,Shamibrata Chatterjee,06400876,89.0,Probing the X-ray Emission from Dueling Magnetospheres,2006
BH AND NS BINARIES,Deepto Chakrabarty,06400892,4.0,Precise Localization of Neutron Star Soft X-ray Transients,2006
BH AND NS BINARIES,Randall Smith,06400898,25.0,Measuring Dense Clouds with X-rays and Millimeter Waves,2006
BH AND NS BINARIES,Claude Canizares,06401081,200.0,Detailed Studies of the Jets in SS 433,2006
"SN, SNR AND ISOLATED NS",Stephen Murray,06500014,45.0,The Surface Temperature of Isolated Neutron Stars,2006
"SN, SNR AND ISOLATED NS",Mariano Mendez,06500020,50.0,Spatial extent and spectrum of the X-ray DC component ofmillisecond pulsar PSR B1937+21,2006
"SN, SNR AND ISOLATED NS",Gordon Garmire,06500042,30.0,Galactic Supernova Remnant G299.2-2.9,2006
"SN, SNR AND ISOLATED NS",Gordon Garmire,06500051,40.0,X-ray Emission from Radio Pulsars,2006
"SN, SNR AND ISOLATED NS",Gordon Garmire,06500063,36.0,Double Neutron Star Binary with PSR J1537+1155,2006
"SN, SNR AND ISOLATED NS",Gordon Garmire,06500081,100.0,Observations of a Bright GRB,2006
"SN, SNR AND ISOLATED NS",Luigi Piro,06500250,60.0,The origin of X-ray rich Gamma-Ray Bursts: Beacons in the DarkHigh-z Universe?,2006
"SN, SNR AND ISOLATED NS",David Kaplan,06500265,60.0,Timing the Enigmatic Nearby Neutron Star RX J1308.8+2127,2006
"SN, SNR AND ISOLATED NS",Stephen Reynolds,06500281,30.0,Small-Diameter Galactic Supernova Remnants: The Missing YoungRemnants?,2006
"SN, SNR AND ISOLATED NS",Bryan Gaensler,06500291,38.0,X-RAY IMAGING OF PULSAR BOW SHOCKS,2006
"SN, SNR AND ISOLATED NS",Kazimierz Borkowski,06500305,100.0,The Oxygen-Rich SNR N132D: Ejecta Detection and ChemicalAbundances,2006
"SN, SNR AND ISOLATED NS",Martin Weisskopf,06500327,15.0,A Search for the X-ray counterpart of the Unidentified Gamma-Raysource 3EG J2020+4017,2006
"SN, SNR AND ISOLATED NS",Patrick Slane,06500333,190.0,The Structure and Composition of Pulsar Winds and their Nebulae,2006
"SN, SNR AND ISOLATED NS",Chryssa Kouveliotou,06500351,60.0,Probing the nature of Dark GRBs using Swift and Chandra inSynergy,2006
"SN, SNR AND ISOLATED NS",Fangjun Lu,06500381,40.0,RX J193214.6+300741: A young supernova remnant in a low densitymedium?,2006
"SN, SNR AND ISOLATED NS",Roger Romani,06500389,100.0,The PWN Torus of PSR J0538+2817: a stringent test of kick models,2006
"SN, SNR AND ISOLATED NS",Masao Sako,06500393,120.0,High-Resolution Soft X-ray Spectroscopy of a Gamma-ray BurstX-ray Afterglow,2006
"SN, SNR AND ISOLATED NS",Christian Motch,06500479,40.0,Astrometric study of isolated neutron stars,2006
"SN, SNR AND ISOLATED NS",Robert Rutledge,06500496,800.0,Search for Sub-Millisecond Pulsars in 47 Tuc,2006
"SN, SNR AND ISOLATED NS",DAVID HELFAND,06500531,20.0,A Young Pulsar Candidate on the Galactic Plane,2006
"SN, SNR AND ISOLATED NS",Robert Petre,06500653,100.0,The Structure and Spectrum of W44 s Pulsar Wind Nebula,2006
"SN, SNR AND ISOLATED NS",Sangwook Park,06500694,120.0,A Deep Chandra Observation of O-Rich SNR 0540-69.3 in the LMC,2006
"SN, SNR AND ISOLATED NS",KOJI MORI,06500699,129.96,Monitoring of the Relativistic Magnetohydrodynamic Shock in theCrab Nebula,2006
"SN, SNR AND ISOLATED NS",Jasmina Lazendic,06500734,10.0,Accurate localization of the CCO candidate in SNR G347.3-0.5,2006
"SN, SNR AND ISOLATED NS",Yasunobu Uchiyama,06500795,60.0,Searching for spectral and morphological changes of X-raystructures in SNR RX J1713.7-3946,2006
"SN, SNR AND ISOLATED NS",Yoichi Yatsu,06500799,30.0,A Chandra Study of the Interaction between the Plasma NebulaRCW89 and the pulsar jet of PSR B1509-58,2006
"SN, SNR AND ISOLATED NS",DAVID HELFAND,06500831,35.0,G20.0-0.2: REVEALING A MODEST CRAB-LIKE SUPERNOVA REMNANT,2006
"SN, SNR AND ISOLATED NS",Una Hwang,06500837,65.0,Large-Scale Shock Interactions in Puppis A,2006
"SN, SNR AND ISOLATED NS",VICTORIA KASPI,06500846,160.0,X-ray Bursts from Anomalous X-ray Pulsars,2006
"SN, SNR AND ISOLATED NS",Chryssa Kouveliotou,06500886,20.01,IS SGR 1627-41 A DIM ISOLATED NEUTRON STAR?,2006
"SN, SNR AND ISOLATED NS",James Reeves,06500899,100.0,Catching a Bright Swift Gamma-Ray Burst With Chandra,2006
"SN, SNR AND ISOLATED NS",Derek Fox,06500904,40.0,The Energetics and Host Galaxies of X-ray Flashes,2006
"SN, SNR AND ISOLATED NS",David Burrows,06500918,100.0,Chandra AO6 Monitoring Images of SNR1987A,2006
"SN, SNR AND ISOLATED NS",Marten van Kerkwijk,06500950,300.0,Spectra of Neutron Stars with Strongly Magnetized HydrogenAtmospheres,2006
"SN, SNR AND ISOLATED NS",Shamibrata Chatterjee,06500974,30.0,X-Ray Counterparts to Neutron Star Bow Shocks,2006
"SN, SNR AND ISOLATED NS",David Burrows,06500992,150.0,A Day in the Life of a Short Gamma-Ray Burst Afterglow,2006
"SN, SNR AND ISOLATED NS",Zaven Arzoumanian,06501001,60.0,In Search of Vela-like Pulsars and their Wind Nebulae,2006
"SN, SNR AND ISOLATED NS",Dale Frail,06501007,30.0,Short-Hard Gamma-Ray Burst Afterglows with Chandra,2006
"SN, SNR AND ISOLATED NS",Gordon Garmire,06501055,30.0,Vela-like PSR B1800-21 and its environment,2006
"SN, SNR AND ISOLATED NS",Gordon Garmire,06501075,20.0,Monitoring of the Central Object in RCW103,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Stephen Murray,06610019,5.0,Testing Formation Models and Heating and Feedback Mechanisms InGalaxy Groups,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Stephen Murray,06610028,30.5,Snapshot Observations of X-ray Bright Early-Type Galaxies,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Q. Daniel Wang,06610143,30.0,X-raying the Massive Sb Galaxy NGC 2841: a Test of Disk Galaxyformation Theories,2006
NORMAL GALAXIES: DIFFUSE EMISSION,ERIC SCHLEGEL,06610154,50.0,Observation of the Hot Gas in the Nearby Dwarf Galaxy IC 1613,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Leisa Townsley,06610162,100.0,30 Doradus: Our Starburst Microscope,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Craig Sarazin,06610190,49.0,Stellar Mass Loss Versus External Accretion in the X-ray BrightElliptical NGC 5813,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Christine Jones,06610382,90.0,The Exploding Galaxies M84 and M89,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Kristian Pedersen,06610871,25.0,Dust-to-gas ratio in the z=0.44 lens galaxy B1152+199,2006
NORMAL GALAXIES: DIFFUSE EMISSION,Christine Jones,06610873,70.0,Understanding the Process of Ram Pressure Stripping in M86,2006
