A_Name,T_Name,Population,House,Shape_l
LAT KRABANG,KHUM THONG,6665,1612,0.196087386009468
NONG CHOK,KHU FUNG NUEA,12072,3339,0.173393670336139
BANGKOK YAI,WAT THA PHRA,65145,21930,0.084481994399772
CHOM THONG,BANG MOT,44516,17499,0.138906244926122
BANG KHUN THIAN,SAMAE DAM,93614,31591,0.356292695850657
SAMPHANTHAWONG,TALAT NOI,9496,3713,0.030601315135393
DON MUEANG,SI KAN,159506,55616,0.240475431274931
PATHUM WAN,LUMPHINI,21362,10850,0.073084888275931
SATHON,YAN NAWA,27025,7383,0.073797523456421
THON BURI,BUKKHALO,20747,6280,0.042663054296453
KHLONG SAM WA,SAI KONG DIN TAI,13047,2676,0.187943174336481
CHATUCHAK,CHOMPHON,30971,15821,0.093770270031457
PATHUM WAN,WANG MAI,11947,4967,0.045237712989507
BANG PHLAT,BANG BAMRU,20247,8477,0.063977868873065
NONG CHOK,KHLONG SIP SONG,9801,2659,0.214004830100756
BANGKOK NOI,ARUN AMMARIN,22996,11230,0.079234976390645
SUAN LUANG,SUAN LUANG,115120,44203,0.219216484501896
BANG RAK,SI LOM,12493,8354,0.064663577629972
SAMPHANTHAWONG,SAMPHANTHAWONG,12466,4488,0.037674597728632
