idnew,A_NAME,T_NAME,Population,House,Shape_l
100,THUNG KHRU,THUNG KHRU,59227,18718,0.210807
101,SAMPHANTHAWONG,CHAKKRAWAT,9712,4982,0.026299
102,SAI MAI,SAI MAI,62032,20806,0.222339
103,BANG RAK,BANG RAK,3830,1230,0.031180
104,KHLONG SAM WA,SAM WA TAWAN OK,20256,5711,0.242494
105,BANG KHEN,ANUSAWARI,101644,40625,0.174313
106,BANG PHLAT,BANG PHLAT,29196,8809,0.096859
107,LAK SI,TALAT BANG KHEN,30339,11517,0.108463
108,KHLONG SAN,BANG LAMPHU LANG,29515,9512,0.057106
109,TALING CHAN,CHIMPHLI,24728,7493,0.125158
110,KHLONG SAM WA,BANG CHAN,51044,17566,0.203217
111,BANG KAPI,KHLONG CHAN,84887,39489,0.167860
112,POM PRAP SATTRU PHAI,WAT THEPSIRIN,9344,2721,0.025671
113,DUSIT,SUAN CHITLADA,11678,2443,0.052524
114,BANG KAPI,HUA MAK,64206,34513,0.196816
115,PRAWET,DOKMAI,33929,14249,0.162085
116,PHRA NAKHON,SAMRAN RAT,4327,1134,0.019284
117,BANG RAK,SI PHRAYA,13189,4978,0.041860
118,PHRA KHANONG,BANG CHAK,98564,34839,0.155299
119,HUAI KHWANG,HUAI KHWANG,21552,8600,0.107659
120,PHRA NAKHON,PHRABOROM MAHARATCHAWANG,5704,1298,0.047962
121,PHASI CHAROEN,BANG WA,40431,12012,0.134447
122,WATTHANA,KHLONG TOEI NUEA,8402,7505,0.060928
123,BANG KHO LAEM,BANG KHO LAEM,28524,8554,0.068397
124,MIN BURI,SAEN SAEP,37153,10415,0.272277
125,BANG NA,BANG NA,101667,43890,0.210088
126,PATHUM WAN,RONG MUEANG,21479,6681,0.045478
127,LAT KRABANG,LAT KRABANG,29846,10020,0.200183
128,THAWI WATTHANA,SALA THAMMASOP,47010,18859,0.246952
129,KHLONG SAN,KHLONG TON SAI,22291,7831,0.056219
130,PHRA NAKHON,WAT RATCHABOPHIT,4282,977,0.017295
131,RAT BURANA,RAT BURANA,38839,12763,0.102224
132,PRAWET,NONG BON,42103,15309,0.138301
133,CHOM THONG,BANG KHUN THIAN,41676,12271,0.096601
134,PHRA NAKHON,WAT SAM PHRAYA,3757,971,0.027792
135,DUSIT,SI YAEK MAHANAK,9081,2370,0.025793
136,LAT KRABANG,LAM PLA THIO,16817,6236,0.269777
137,DIN DAENG,DIN DAENG,146031,46939,0.130394
138,BANG PHLAT,BANG O,28480,9276,0.070807
139,RAT BURANA,BANG PAKOK,55258,19144,0.133117
140,BANGKOK NOI,BAN CHANG LO,40135,11266,0.062235
141,BANG BON,BANG BON,96723,41281,0.280436
142,LAT KRABANG,KHUM THONG,6665,1612,0.196087
143,NONG CHOK,KHU FUNG NUEA,12072,3339,0.173394
144,BANGKOK YAI,WAT THA PHRA,65145,21930,0.084482
145,CHOM THONG,BANG MOT,44516,17499,0.138906
146,BANG KHUN THIAN,SAMAE DAM,93614,31591,0.356293
147,SAMPHANTHAWONG,TALAT NOI,9496,3713,0.030601
148,DON MUEANG,SI KAN,159506,55616,0.240475
149,PATHUM WAN,LUMPHINI,21362,10850,0.073085
150,SATHON,YAN NAWA,27025,7383,0.073798
151,THON BURI,BUKKHALO,20747,6280,0.042663
152,KHLONG SAM WA,SAI KONG DIN TAI,13047,2676,0.187943
153,CHATUCHAK,CHOMPHON,30971,15821,0.093770
154,PATHUM WAN,WANG MAI,11947,4967,0.045238
155,BANG PHLAT,BANG BAMRU,20247,8477,0.063978
156,NONG CHOK,KHLONG SIP SONG,9801,2659,0.214005
157,BANGKOK NOI,ARUN AMMARIN,22996,11230,0.079235
158,SUAN LUANG,SUAN LUANG,115120,44203,0.219216
159,BANG RAK,SI LOM,12493,8354,0.064664
160,SAMPHANTHAWONG,SAMPHANTHAWONG,12466,4488,0.037675
